date,AAPL,YUM,ABC,ADI
2017-01-30,121.63,65.68,83.62,76.28
2017-01-31,121.35,65.53,87.28,74.94
2017-02-01,128.75,64.87,88.61,76.17
2017-02-02,128.53,65.67,88.05,75.23
2017-02-03,129.08,66.23,89.28,75.52
2017-02-06,130.29,66.3,89.98,75.53
2017-02-07,131.53,66.49,90.33,76.31
2017-02-08,132.04,66.59,91.07,77.48
2017-02-09,132.42,67.39,91.65,76.51
2017-02-10,132.12,68.0,91.17,76.53
2017-02-13,133.29,68.11,90.48,77.92
2017-02-14,135.02,68.58,90.82,77.84
2017-02-15,135.51,68.65,91.18,81.6
2017-02-16,135.345,68.44,90.32,81.97
2017-02-17,135.72,68.4,90.76,82.48
2017-02-21,136.7,67.67,91.01,82.82
2017-02-22,137.11,66.1,91.34,82.06
2017-02-23,136.53,65.75,91.61,81.61
2017-02-24,136.66,65.95,92.16,81.68
2017-02-27,136.93,65.52,91.73,82.28
2017-02-28,136.99,65.32,91.51,81.93
2017-03-01,139.79,65.57,92.23,83.76
2017-03-02,138.96,65.21,91.94,83.65
2017-03-03,139.78,65.03,92.23,83.18
2017-03-06,139.34,64.5,89.99,83.85
2017-03-07,139.52,64.02,88.48,83.41
2017-03-08,139.0,64.08,89.08,83.48
2017-03-09,138.68,63.81,88.61,83.17
2017-03-10,139.14,64.31,88.31,82.2
2017-03-13,139.2,64.38,89.14,82.76
2017-03-14,138.99,63.95,88.81,83.68
2017-03-15,140.46,63.91,89.48,83.51
2017-03-16,140.69,63.82,88.0,82.72
2017-03-17,139.99,63.87,87.53,83.26
2017-03-20,141.46,64.07,86.91,82.9
2017-03-21,139.84,63.73,85.91,81.8
2017-03-22,141.42,63.32,85.88,82.12
2017-03-23,140.92,63.18,85.99,81.54
2017-03-24,140.64,63.58,86.56,81.64
2017-03-27,140.88,63.51,87.48,81.4
2017-03-28,143.8,64.47,87.5,82.2
2017-03-29,144.12,64.05,89.51,81.91
2017-03-30,143.93,64.02,89.14,82.2
2017-03-31,143.66,63.9,88.5,81.95
2017-04-03,143.7,63.55,87.33,81.24
2017-04-04,144.77,63.84,86.93,81.24
2017-04-05,144.02,63.87,87.18,80.04
2017-04-06,143.66,64.55,87.64,80.32
2017-04-07,143.34,64.28,87.62,80.01
2017-04-10,143.17,64.13,88.44,79.33
2017-04-11,141.63,64.15,87.87,78.08
2017-04-12,141.8,64.03,86.82,76.87
2017-04-13,141.05,63.79,86.67,76.51
2017-04-17,141.83,63.89,86.64,76.39
